position;time;model;response;gpu;diff_time;norm_time
234;218.67821717262268;openai/gpt-oss-120b;;H100-NVL;0.8471624851226807;0.6968080777121846
232;218.7118117809296;openai/gpt-oss-120b;;H100-NVL;0.03359460830691319;0.696917789137795
233;218.72116327285767;openai/gpt-oss-120b;;H100-NVL;0.009351491928072164;0.6969483287262207
231;218.72800588607788;openai/gpt-oss-120b;;H100-NVL;0.006842613220214844;0.696970674956438
235;218.9457025527954;openai/gpt-oss-120b;;H100-NVL;0.2176966667175293;0.6976816167670414
239;219.04047012329104;openai/gpt-oss-120b;;H100-NVL;0.09476757049563389;0.6979911034907959
236;219.064044713974;openai/gpt-oss-120b;;H100-NVL;0.023574590682954977;0.698068092093502
237;219.11448335647583;openai/gpt-oss-120b;;H100-NVL;0.050438642501831055;0.698232811840319
238;219.3084771633148;openai/gpt-oss-120b;;H100-NVL;0.19399380683896084;0.6988663461537262
242;221.132709980011;openai/gpt-oss-120b;;H100-NVL;1.8242328166961954;0.7048238254354229
240;221.13279366493225;openai/gpt-oss-120b;;H100-NVL;8.368492126464844e-05;0.7048240987290398
241;221.18405389785767;openai/gpt-oss-120b;;H100-NVL;0.05126023292541504;0.7049915015807116
245;222.6915714740753;openai/gpt-oss-120b;;H100-NVL;1.507517576217623;0.709914669635201
243;222.76348757743835;openai/gpt-oss-120b;;H100-NVL;0.07191610336306553;0.7101495292934007
247;223.0243139266968;openai/gpt-oss-120b;;H100-NVL;0.2608263492584513;0.7110013216510461
244;223.23561573028564;openai/gpt-oss-120b;;H100-NVL;0.21130180358883877;0.7116913794690748
248;223.41659951210025;openai/gpt-oss-120b;;H100-NVL;0.18098378181460362;0.7122824263577259
246;223.640793800354;openai/gpt-oss-120b;;H100-NVL;0.22419428825375576;0.7130145877436642
249;223.672039270401;openai/gpt-oss-120b;;H100-NVL;0.03124547004699707;0.7131166274826428
251;225.41862440109253;openai/gpt-oss-120b;;H100-NVL;1.7465851306915283;0.7188205292185291
250;225.84511137008667;openai/gpt-oss-120b;;H100-NVL;0.4264869689941406;0.7202133269241957
253;226.04526352882385;openai/gpt-oss-120b;;H100-NVL;0.20015215873718262;0.7208669728447987
252;226.55577683448792;openai/gpt-oss-120b;;H100-NVL;0.5105133056640625;0.7225341791430783
254;226.91561651229856;openai/gpt-oss-120b;;H100-NVL;0.3598396778106405;0.7237093237878127
255;228.0433938503265;openai/gpt-oss-120b;;H100-NVL;1.127777338027954;0.727392357041121
256;229.3082981109619;openai/gpt-oss-120b;;H100-NVL;1.2649042606354044;0.7315232118624442
257;229.92226910591123;openai/gpt-oss-120b;;H100-NVL;0.6139709949493124;0.7335282845968539
260;230.07981705665588;openai/gpt-oss-120b;;H100-NVL;0.15754795074465733;0.7340427960363176
259;230.45805478096008;openai/gpt-oss-120b;;H100-NVL;0.3782377243041992;0.7352780240102224
258;230.51964282989505;openai/gpt-oss-120b;;H100-NVL;0.061588048934964945;0.735479154875851
261;230.84474158287048;openai/gpt-oss-120b;;H100-NVL;0.32509875297543545;0.7365408445174528
262;231.3669331073761;openai/gpt-oss-120b;;H100-NVL;0.5221915245056152;0.7382461889010463
263;232.32680130004883;openai/gpt-oss-120b;;H100-NVL;0.9598681926727295;0.7413808736949334
264;232.91572833061215;openai/gpt-oss-120b;;H100-NVL;0.5889270305633261;0.7433041592267474
265;233.6904072761536;openai/gpt-oss-120b;;H100-NVL;0.7746789455414387;0.7458340631544643
266;234.513795375824;openai/gpt-oss-120b;;H100-NVL;0.8233880996704102;0.7485230387609145
268;236.05914735794067;openai/gpt-oss-120b;;H100-NVL;1.5453519821166708;0.7535697643389919
267;236.12664461135864;openai/gpt-oss-120b;;H100-NVL;0.06749725341796875;0.7537901931598797
269;236.5018117427826;openai/gpt-oss-120b;;H100-NVL;0.3751671314239502;0.7550153933603012
270;238.74209904670715;openai/gpt-oss-120b;;H100-NVL;2.2402873039245605;0.7623316005220329
272;239.2720901966095;openai/gpt-oss-120b;;H100-NVL;0.5299911499023438;0.7640624164936171
274;239.4030921459198;openai/gpt-oss-120b;;H100-NVL;0.13100194931030273;0.764490235460437
273;239.66925191879272;openai/gpt-oss-120b;;H100-NVL;0.2661597728729248;0.7653594454198233
271;239.99973392486567;openai/gpt-oss-120b;;H100-NVL;0.3304820060729412;0.7664387153935532
